K1d12_014_0 EaaAdDAaAcAaacAaBaaaBAAAAbAAAdCAaBBdBAAaBcAa-aadaAzaaa-waaxGabEaA-Efz-aABAAaBaaaAaDaDcc-AabAa-aAcAAfAbAbAbGaCfAaEAeaaaBaaaavABaBa-aBcAAbEfAaaAbaaABAbaAaDAdaaB-CAAbAAaACaaBa-aaCAAd-AaaaaCaACAAdJccAcAa-dCaAcCaa-aABaaaFdFf--
K1d12_014_1 bdDb-AbaaBazaaaCcHgBEfaBA-AAcAAFdcBbbB--CbAC-aaaAz-Aa--Baaa--CIbfaacGeaaBz-Cc-aCaaab--we--Ke--bDeAacAAabHeaa-aAaa-FaaaDbbaayB-f-bDdBb-b---xd-A--D-BAbacaaCBAAbAaDaabbAgv
K1d12_015_0 cAaAAAAAbaaabaaaaaaBaaaaaz-faa-I-aBAabBAaCcAaabBcDc--AaaaaGaAbaEb-acAaccAd----bAAAAdaAaCdEdACcCbAb----abAdE-----aAAaCaaa-a--A-aABabAbAaaaa-bBaaaaa-acAAdaCc-AaaCeAa-CabAA-AaaaaadA-aAAbAAAc-AbABbabbABaabAaafF--
K1d12_015_1 D--cCaCc-aAaCb--b-aaAAgB--aawAabaa-baBAAAAAdBaaAa--AaAA--A-aAA----A-aaa-----AAaaaaaCAaABB-B----caAaAdA-baaAAD--a--cCacAyAAb-a-CbaaAKfCAdAabAaacyAa-CzcaAaBaFa-B-aaCAc--CcEabAAAa-aDc-AaacGa-aaAf
K1d12_016_0 DcDAAAcAAbAaGcEbdFAbaCaa-cABAabDA-ba-AbaC-baAa--cDAAAabBAEfEABbaCcaC-bBaa-bBcAaadAaabGcAaCdbaaCzBh-dI-dAaaCAaAaBdaaA-AaaaBaaAAAab--CAAdGaaaaAa--aAEaaaaCaabAA-AaCb-CdCCbd--aaaCaAd--Aaaaa-Ff--
K1d12_016_1 A-b-aaBabbaa--bAa-aaaAaAaaa-a-CcA-cCaAAaaaE-aAaACBe-aaaCadAABAabBabAaaaE-cAbABaA--CaaaAD-AbBb--aaaAa-aBaa-aBACA--aABaBcCBcAbb-BgAAb-AaBcBaaACabAaEabAabAaDaAbBAa--ab-CbAbbbAbC-bDeAbaC-bbAAcAAaaaaa-aACAeAbAAbEdAdAcABcaaAbAdFaAaaAb
K1d12_017_0 -AabbAAbBBEbAAAabBc-A-aAdAcBABbaaaaAaCaaaAaCaaaAAAaCaCb-DabaBabAAbA-AaaA-aa-aDcaAabaDabAaAaAaAaA-aA-aAcCcCaCAaadaaazabBABAd-BaaAaCaaA--aAAAAaaaA--aaAaaa--BAA-BbAabAaBaaaa--aAbAbAaaaCaAaaaCabAAb--Aa-a-ACaaa-Aa--BaaCa-aAiy
K1d12_018_0 aAB-bAAaAzAAAAabAaaAaaAaaDazaAyAAAaaaaDaA-aA-DaAbAbbAbaAAcAAcaCaBbAAaBAaBAbaaaBAabaaaAaaaa-aBAbAczaAAaAbCa-A-accCAabaAbAcBAAAcaECBAabaaAAAAcABaAAabaaaBeaz-Bd-A--bAcaAa-zaaAaCAAbA-aACAcabAyaaAavabAaAaCbCAACagBABAA-b-aaAbAAAACaeCCaaaaaAaaAaA
K1d12_018_1 A-aaaAAaaA-aAAbAAiaAxx-a-bAauAAAAbAAAAaCaA-caaEeAAA-bCa-hx-aazcDdF-bBaaaAcwacwxAAAbABaaaAaycaAaAdBC-bcaAaAa-aAAaAAA-aAbaEcbaaaB-aabaaAAav-aAxAbBaaaaDzzbbAAA--bxAzEcbBaAbA-baCAbxAzbCaBbaAbabFc
K1d12_019_0 b--C-A--aaaaAaaEfaaAaaaAaaCAAAAeBaaABaaCc--ABabaaaGcCb-BdAAbAaaAAaADcaAaAAaaAA-aAbAAAayyAaAaAAAAzbaCcAa-bAAcaaayAaAaDaAAaaaAAAaAaaaAAAA-AaA-aAbaC-aAbaCcBbd-aBAEcDcDbaBbbB---cEaaaAAbBbaAaAAAAaaAAaaaAAbBaaaAaCaAAAaaAaB-aaA--acAaaaAaaaAAA-AA-aaaAac
K1d12_019_1 BbB--AAaEcaaAAaAaaaA-aaAAa-aaaCdDaA-adaAaaaaC-A-CcaAABbaaybAbAAcG-aaC-AaCcaaaaaDb-BaacEaacF--AaaaaaAaAa-CabAAcD-cAaaaAAFea-aAAAaaA-AaaaAaaAcaaEcacEAAAAaAAbaaCaaaAAAAAaAc
K1d12_020_0 cBaAAAaB-bAAAAAA-aaAAaaaGC-fAaaaAAbBAAAaAdaDaaAEfaaCaaAAAA-BaBCccaGeACCbaCcgaazaaCabAAaDaAaaAAAbAazaaAAyACbayzbBcAaaAaADACaaaaDBbaCcCcAaAadAA-BaAaAaDd-aA--abAAA-eaaAazaaGaceaAaaaaBaAAaaaaD-aB-EbcaAC-cb-BaaabxbA-BcBaaaaAaaaCcAAAaaaAAAAAdDaAaaaaaAAAbAcCa-
K1d12_020_1 AaCc-AaaAAaacDabAaabAaG-aAaaC--abAaAAAAAAagbAaEb-aaaAAAabDaAbCaAAAdAAa-azAAaazzAzAbFcbaAAbaAAazaaavaaAAvvAAAAazBcACbaacAAAAaAAaaaaDAaaaAaBaaAcBAaaaAbAAAaaC-bA-aaAaaaAAAAaaaAAAaAaAaaaaBcDABaaAAcaAAAAbAabAaCAAaAaaAAAAaaA-AAAbaAaAAaAAAaAA-aAaaaaBaaAAaAAAaa-aA
K1d12_021_0 zEAab-A-aAaAAaaaaaaaBAAAAabAaaAAaAzCaEgCAaaaAAbAADeAAbAcAaaAyAabAAa-aAazabCdaaaxyAAAaCbAaaAaaaAAzaAaa-ACcCcaAaAAaCaaAeyAAaAbaaaaCaaA-aAbcCc-bByAaaaaCaa--DcaaACAAdAaAb-AbAaAAaaaaaCaAaaaAfaaAaw-A-CdCAABaabebAb-aEdDeaAAaaaAAyaaAwAbCa-
K1d12_021_1 aA-acaaD-caaaaAaAAaaaAaaaB-EfaAzDAAabHccAaaDb-B-AbCbCdACaaaA----aaaAA-aA-aaaaay--aa-eDD---CBabAaAaaDbBaAa-bAayAABBcaa-aAaB-aAAAaabAAA-AdEAbABacyBABAbAz---bAAbBaaaAaAybAAbaEaaaAyBAAAaaAAaaaAaAAaaaaAAaaCaAD-c-Baab--zEDeEfaAbAcbAEfadAAAabAAAAAAaAcAcCdadAAAabAAAAAFeabaC
K1d12_022_0 E-aAAAAAeaa-E-caaacaAAaaaADdAAEfaaaBaaaaAaaACbAAAaaaaA-aAACaAcaaAAcAAAA-aaAaaAA-abAAA-aaBaaAfEaA-BAbCAaaaacAaaAxB--abA-DbdAb--AACaaaAbAAaaaEABcA-aabCaaCca-AAaazaaaABa--aaBAAAaa-DaCebA-a--aBaaaaACAAyAAEcaAAACb-bBaaaaAaaaazE-eAabaAyAFeaAbABaAAAAaaAbAcaAx---baaB
K1d12_022_1 DAaaaaAAAAAAaaaAaaAAA-aaaaDBbBbBb-BB-d-aaaAAaAAaaabAAAaaBaaACb-A-dCA-aDa-aa-AabAAaaACBc-b-aaBbA-bAb-aaDb-aaEAaCAabaaaa-aABbaAAAHfa-fcA-a-Aau--IaaBAaAbCbaBaAdCAbaAbFbFfEc
K1d12_023_0 DABaAcaAbAAbbDaAaAabAAbzzAACd-A-bAaAaBaaaaEgAaB-AAAaaDaaaAACaABbAaAACdaCa-bAAaadaCBbCbAbzbAIcBzaaAAAzaaBaaxBaaaAAAAaaBabaa-AaBAaAAaaaAaayAAAIeaaaaGdAaaaaaaDAAaaCaABAA-A-aAaAaaAAcAaA-ABa-eDEf-aAaBaA-BcBaCfzAaAaaaaAbEaA
K1d12_023_1 -aAbbaaA-aAAAabGeAaAaAdAABaaBaaaaaAAaAAAAhCaaAAAaaAazaaaAECb--AbAAabAbAAa-aABa-fBAAAAAaAD-aaAaC-a--bAAaaaAAAa-aBCbaAaaAa--aaaaDaaBaaAbAAAdDbAbayCa-aAcGeAAAAAaA-aBaAaBaaaBaaaAaAaAAAAbAAAbaaaaB-yaAaAwBzbAax--bAbCAAAcAzDAz-aAbabCaH
K1d12_024_0 GeAaCcCbaDAaAaafDBcaAAaabC-AAbaaACaAdaCcAaeCAAAAdDbAbaCdACh-BcACaCcAcaAaaCeacFbBCAacaADacAa-AdGdAaCA-b-aaADCdaADbABe-AAbFC--baCaacAaae-baCAAaa--aAaaaAabaCEbaAA-aabAAAA-fC-AAaC-cAaBaaAaaaaDCabCaAaAabazbABcaBcAa--aEbbCcAaAAAAAaaaCc---aAcaAaCAdEa-aA--Aa-ccbababAD-
K1d12_024_1 AAAcaAAaCBaaaaAAdaaACaaaBaaaaaCaaaawAAEeaaaaA-wAAzcCAAAAaa-aaaaCaaaaCaAAa---j--D-Aa-ay--D-Aa-aAgsz-z-AacAJAaBaAbCdIfEa-ca-Dg-CeaaaaAAAcAAAAaaaaDcaAdDgCAbAAAfy--b-ca-CAAaaA--A-Ab--A-ABABBBcaACbAbaa-AbaAAbAbCaAAbAaADbacfw
K1d12_025_0 bC--AAbCb-aCcCbaAaAAAAAaadb-CcBb-a-CBbAEaaaAAaaCEcACeaaBCaABbbcAab-aAEd-AAAb---dEadBaAAaaiAaaaaDaCAdDa-Ca-abAAaA-FbDdCAEBDaa-bAbbAaaACa-A--aCea-acaAEbcAaCCAbaCAAdAaabBAAAAaACbaccC-CcaCC-ab
K1d12_025_1 Db-baabAAa-aAAb-AAAAdyAaa-bDa-ad-bAAACac-BBacbAb-AbAy-wwAAABbaAa-CdA-aAA-CBaAa-bAaD-AaaaAa--D--bAAAcAdAbAbaDaC-b-BadEaaA-aAAcaaAabGAaaAAd-GaAbb--DaAbAdABAaaaa----b--DaAcAaaaaBaaa----b---cCbaCcB---aAaaaabaadBaB-Db-cAaCAAdCgAAA-AabaDcA
K1d12_026_0 b-AAa--AaaAAaaaAAAAf-AAAEccaA-a-DfbECDaAgAAbCAAAAAbbaAbaGaCfBbbAbAbA-B-AAgAeCAa-zBBaacAv-AaAACaaAdAADb-aCaaBAa-DAC--aaBBcaACeDhadDaaaaCcAaaaxaaaBcBbazaa--cAaAbaAAAaAaA-A-bAAAAdDBAAbAdE-dDeBcdCBcaCaCbcbAAAaAaACjDAbAaDc-aAaz
K1d12_026_1 A-aa-acCi-MefCdH-acAACeaAaCAeAaaBabDbAAbADbbCaAeCAAa-A-ADaagxAdaAC-bBdAADaaAAaaAeEdaEbAcAaaAbGzaaAdwAaAfyAAaA
K1d12_027_0 dbAaDaaaBAbazCabDbbBAAbbDaCBCabaAaAaEaAAbCaAaCAAaaAb--aaBbDaD-caaabAaDbabDBbAbaGdbbbaA-CBaAaaaAcwaaABAaDBabcAaAcAAAbbAazAAaACea-aAH-bAAdAabwaCaAgAAAAaaaAabAbaw-AbaDAaA-aaaBaB--CdaECcAAcbbAaaCA--aaaBa-axF-ccEeBaAaazBaayEguG-AbzCc--AaAcAax
K1d12_027_1 aaaAaBA-aAAaaAc-CD-----abBcBaAAAaDaAA-aaaAaa-aGBbBbbAaCaAdBaCAAgCebBBbBcDadAaAAAdAA-CA--AaaAbAAaCDac-AAbgE-c-BEgBa-B-cB-bcbDbaaaaDBbBaaaaz----bAaAb-bCayBAAbwaBAb-AaCaaBAaAAbAAAAA-cGaAaacgAAABayAAAaAaEbaCAa-baAaaaAcAF-AabbECAdbaBaAAaaacAAAaC---aCcay
K1d12_028_0 AaCBaaAaDbbBBbBca-aAFba-aDfA-abA-av--BxbBBC-BAac-EBbBAAAeBbEabAaAzEDaEbaaCaABa-aAAC-aaABbbAaaAcBAAACAAAAAAAAaaAAeaAaGbBAB--aaA-ACccAAAAAAAaAcAaaB-cAaaa-AaaabAAAAABaAAaaabAAaA-AbbBAEaAcaAaACcc--dbAaFeaaCzaCeCaabzab-CabAB-a-EbBb-aBaaaaAAbcuxaaaw
K1d12_028_1 aaaaCaAcEb-aAa-Ab-CbbaAAd-a-AabbBAAABb--b-bB--dAAaAdEbAaAaAadCAAACBdBAaBACaaa-c-aaacGgwA-bAAEc-aAAaaaBA--aAAA-BaaaAaGb---bAa-abaDAaaabAAAAac-bAAaBAaa-G--b---eA--babAcaJ--ca--caAbAAB-AaaBAAAbAaaaBa-Bac-
K1d12_029_0 bbAbCzAAbAaB-aaaAaDabAaCa-aAbaADbz-aaAzaaAx-bBAAAAdC-A-bAaaAbwAbCaAFebDdbAAabAAabABAdAxgAaEfAAayaaa-AbBabB-aAabAaIc-CaaAcaAbAaaaCBaCcaaaBcAzay---a--AbACaAbBd-DAaBAAAacaCaAAaBbCbewAAACaAzaAceDbAAAba-AAbaIaCeCaCbcdAxAbAbGdAA-aacAaBazaaAc-GAEb-aaEaaeBBdbaAAAaaBabCaEab-bACAcC
